SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-6209.85157704353,-1.25979011409715e-09,9,0.1866702,6.0329002,6.2195704,,18,,,-4545.83056783676,5.48214062368779e-09,9,0.2367694,56.3109541,56.5477235,26.7964699085288,,18,,,-5219.9242811203,9.68730448960082e-10,2,2.0972468,0.0937253,2.1909721,15.9412392332013,,18,,-4591.25401210785,7.99661313104171e-10,9,0.264047,132.438988,132.703035,26.0649959963502
2,,,,,,-5628.52615523338,5.69198679781991e-09,9,0.3411055,6.3804848,6.7215903,,4,,,-4531.86482715607,-1.51182918041608e-09,9,0.233365,73.2116279,73.4449929,19.4839874210702,,4,,,-4531.86490046419,2.55063472027352e-09,2,1.4844915,0.0908569,1.5753484,19.4839861186311,,4,,-3935.29434919357,5.24828169152161e-09,9,0.2638461,96.5071391,96.7709852,30.0830405569929
3,,,,,,-9575.69344758987,3.54022838153155e-09,8,0.2291673,5.7791058,6.0082731,,6,10,,-8076.90840148926,5.3111399522363e-09,9,0.1653651,51.5815295,51.7468946,15.6519739724735,,6,10,,-8076.91940819286,9.90894061483783e-10,2,2.2237843,0.0824913,2.3062756,15.65185902828,,6,10,-6913.10050868988,-1.1822984524231e-06,9,0.220451,120.0555557,120.2760067,27.8057453851569
4,,,,,,-8939.29148292542,9.00141477660425e-09,9,0.1757516,5.8230957,5.9988473,,4,19,20,-6895.93851852417,8.86290441757316e-09,9,0.175471,52.3874559,52.5629269,22.8581087025093,,4,19,20,-6895.93859840088,-4.3523190832161e-12,3,2.9778237,0.1363847,3.1142084,22.8581078089629,,4,20,-5793.79965209961,-2.13212771913575e-09,9,0.2468318,114.1683618,114.4151936,35.1872610579248
5,,,,,,-5899.21117901802,-5.05191651617669e-09,9,0.2307584,6.129335,6.3600934,,20,,,-4895.89385080338,-1.80758560455291e-09,9,0.1520382,66.9235261,67.0755643,17.0076523414383,,20,,,-4895.9018031075,-9.0709797854573e-11,2,1.6604699,0.0887649,1.7492348,17.0075175385996,,20,,-4244.29428958893,-2.79054512852479e-09,9,0.2114521,100.2314371,100.4428892,28.0531894724367
6,,,,,,-6036.20969414711,-4.44353186983104e-09,9,0.1780447,7.3672046,7.5452493,,17,,,-4980.18836736679,-3.50724683452944e-06,9,0.1541404,59.4350108,59.5891512,17.4947753687926,,17,,,-4980.18855514075,1.22396185466679e-08,3,2.3347453,0.1304884,2.4652337,17.4947722580001,,17,,-4262.75600624084,-7.84274656352841e-06,9,0.1687666,125.8999281,126.0686947,29.3802531351066
7,,,,,,-4697.78566455841,1.85559323495026e-08,9,0.1869612,6.6689652,6.8559264,,5,15,,-3840.26311206818,-4.85532201837979e-06,9,0.1879689,54.8987395,55.0867084,18.2537606804767,,5,15,,-3840.26563629095,1.40400637642556e-09,2,1.6848257,0.0843164,1.7691421,18.2537069482941,,16,,-3134.10459327698,-7.46802558916619e-09,9,0.2183746,106.9337728,107.1521474,33.2854919942036
8,,,,,,-7300.57843542099,6.53149832470265e-09,9,0.134491,5.0115048,5.1459958,,9,10,,-6517.54536724091,9.02625518947833e-09,9,0.1829529,65.2258585,65.4088114,10.7256305114258,,9,10,,-6517.54727227423,1.37815182605882e-10,2,1.6982515,0.0887599,1.7870114,10.7256044171466,,9,10,-5577.77654647827,-1.41526827898699e-09,9,0.1778623,125.6940002,125.8718625,23.598156011639
9,,,,,,-9781.6821321249,-3.04674819577492e-10,9,0.078327,3.0685015,3.1468285,,6,8,,-8601.20807123184,8.32574092351426e-09,9,0.1019446,43.4022032,43.5041478,12.0682112232635,,6,8,,-8601.22126091272,-7.33504839087359e-09,2,0.868491,0.051709,0.9202,12.0680763826431,,6,8,-7300.87603855133,3.14978772616043e-09,8,0.0967628,56.9114562,57.008219,25.3617533269266
10,20,5,2,3,1500,-7015.94188404083,0,9,0.0743597,2.5866908,2.6610505,,6,,,-5969.6919298172,-1.50719626652391e-06,9,0.0960314,44.4895612,44.5855926,14.9124660881747,,6,,,-5969.69214931576,5.24090974181555e-12,2,0.8485407,0.0414749,0.8900156,14.912462959606,,6,,-5150.522772789,7.34683057694963e-08,9,0.1062284,59.1116567,59.2178851,26.5882919511506
