SNo,d,s,t,r,w_i,SDP_MPtime,SDP_SPtime,SDPtime,SDP_Iters,SDP_AvgGap,NULL1,PROJ_MPtime,PROJ_SPtime,PROJtime,PROJ_Iters,PROJ_AvgGap,NULL2,IA_COP_MPtime,IA_COP_SPtime,IA_COPtime,IA_COP_Iters,IA_COP_AvgGap,NULL3,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_time,DiscreteLB_Iters
,15,5,2,3,1500,0.10197755,9.22537863,9.32735618,9,31.9571005462187,,4.73534148,0.12537399,4.86071547,6.6,31.686839864536,,0.12530082,11.27501746,11.40031828,8.7,43.5888558704006,,0.12440749,1.65092856,1.77533605,8.9
,15,5,3,2,1500,0.12806335,4.47214636,4.60020971,5,39.9436153135407,,10.07858093,0.39921333,10.47779426,22,39.9377249328168,,0.05593226,3.68077167,3.73670393,4.5,44.9282367509949,,0.11787373,0.92878238,1.04665611,5
,15,5,2,3,2000,0.1127135,8.88925378,9.00196728,9,39.3240089036784,,5.68204037,0.15141733,5.8334577,8.7,39.323939401962,,0.158663,11.21248353,11.37114653,8.9,51.9789158282747,,0.17281904,1.66603317,1.83885221,8.9
,15,5,3,2,2000,0.05515558,4.43504154,4.49019712,5,44.9898980502185,,10.67575426,0.33734188,11.01309614,22.7,44.982864678418,,0.05816267,3.71396468,3.77212735,4.6,50.4791822380265,,0.1390968,0.93397974,1.07307654,5
,20,5,2,3,1500,0.16860469,56.78664667,56.95525136,9,17.5253036218153,,1.78786704,0.08889717,1.87676421,2.2,16.4397332693365,,0.19746227,103.79522957,103.99269184,8.9,28.5408178887888,,0.18156366,5.48477884,5.6663425,8.9
,20,5,3,2,1500,0.13891405,20.82994622,20.96886027,5,40.6286357439025,,48.62519428,1.36200174,49.98719602,37,37.4791328781645,,0.05928345,26.19409903,26.25338248,4.7,48.1425803909969,,0.05910295,2.10158739,2.16069034,4.7
,20,5,2,3,2000,0.21884671,54.74915578,54.96800249,9,18.905591896335,,1.70071059,0.08473167,1.78544226,2.2,17.6632501162144,,0.22830375,102.56417882,102.79248257,8.9,30.5191126372897,,0.21224869,5.41106931,5.623318,8.9
,20,5,3,2,2000,0.06680951,25.48864411,25.55545362,5,48.3280640073223,,16.91961379,0.68281205,17.60242584,16.6,46.0108703485933,,0.08747357,33.65009621,33.73756978,4.7,57.9591058293858,,0.07843755,2.93593978,3.01437733,4.7
,25,10,5,5,1500,1.08223288,467.27567017,468.35790305,33,48.6289008944197,,162.68180205,0.80138179,163.48318384,20.1,48.5950738046551,,0.86157246,85.17969781,86.04127027,33,58.9761665667047,,0.81773603,29.76826902,30.58600505,33
,25,10,5,5,2000,1.07845212,468.16345125,469.24190337,33,60.1943437576787,,159.70344668,0.69233789,160.39578457,17.1,60.1481639041814,,0.81532353,87.69785155,88.51317508,33,72.2656682278845,,0.75059225,29.64740067,30.39799292,33
